Episodes trained, 448
State.x, State.y, State.z, Action.x, Action.y, Action.z, Qvalue
0,0,0,0,0,0,1014.561646
0,0,0,1,0,0,2115.187500
0,0,0,2,0,0,698.879639
1,0,0,0,0,0,2624.431396
1,0,0,1,0,0,714.323059
1,0,0,2,0,0,956.243164
2,0,0,0,0,0,736.065552
2,0,0,1,0,0,2010.387939
2,0,0,2,0,0,321.328369
